Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,classic-heel-black,Classic Black Heel,Timeless Elegance,"A sophisticated black heel that combines comfort with timeless style. Perfect for both office and evening wear. Features a comfortable 3-inch heel and premium leather construction.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,800,,,,,,,,,,,TRUE,,,Black,,,FALSE,TRUE,,,,,,,,,89.99,99.99,Size,36,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black-side.png
,classic-heel-black,Classic Black Heel,Timeless Elegance,"A sophisticated black heel that combines comfort with timeless style. Perfect for both office and evening wear. Features a comfortable 3-inch heel and premium leather construction.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,800,,,,,,,,,,,TRUE,,,Black,,,FALSE,TRUE,,,,,,,,,89.99,99.99,Size,37,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black-side.png
,classic-heel-black,Classic Black Heel,Timeless Elegance,"A sophisticated black heel that combines comfort with timeless style. Perfect for both office and evening wear. Features a comfortable 3-inch heel and premium leather construction.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,800,,,,,,,,,,,TRUE,,,Black,,,FALSE,TRUE,,,,,,,,,89.99,99.99,Size,38,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black-side.png
,classic-heel-black,Classic Black Heel,Timeless Elegance,"A sophisticated black heel that combines comfort with timeless style. Perfect for both office and evening wear. Features a comfortable 3-inch heel and premium leather construction.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,800,,,,,,,,,,,TRUE,,,Black,,,FALSE,TRUE,,,,,,,,,89.99,99.99,Size,39,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black-side.png
,classic-heel-black,Classic Black Heel,Timeless Elegance,"A sophisticated black heel that combines comfort with timeless style. Perfect for both office and evening wear. Features a comfortable 3-inch heel and premium leather construction.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,800,,,,,,,,,,,TRUE,,,Black,,,FALSE,TRUE,,,,,,,,,89.99,99.99,Size,40,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/classic-heel-black-side.png
,leather-bootie-brown,Leather Bootie Brown,Autumn Essential,"A versatile brown leather bootie perfect for transitioning between seasons. Features a chunky heel for comfort and a classic design that pairs with any outfit.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,900,,,,,,,,,,,TRUE,,,Brown,,,FALSE,TRUE,,,,,,,,,129.99,149.99,Size,36,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown-side.png
,leather-bootie-brown,Leather Bootie Brown,Autumn Essential,"A versatile brown leather bootie perfect for transitioning between seasons. Features a chunky heel for comfort and a classic design that pairs with any outfit.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,900,,,,,,,,,,,TRUE,,,Brown,,,FALSE,TRUE,,,,,,,,,129.99,149.99,Size,37,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown-side.png
,leather-bootie-brown,Leather Bootie Brown,Autumn Essential,"A versatile brown leather bootie perfect for transitioning between seasons. Features a chunky heel for comfort and a classic design that pairs with any outfit.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,900,,,,,,,,,,,TRUE,,,Brown,,,FALSE,TRUE,,,,,,,,,129.99,149.99,Size,38,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown-side.png
,leather-bootie-brown,Leather Bootie Brown,Autumn Essential,"A versatile brown leather bootie perfect for transitioning between seasons. Features a chunky heel for comfort and a classic design that pairs with any outfit.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,900,,,,,,,,,,,TRUE,,,Brown,,,FALSE,TRUE,,,,,,,,,129.99,149.99,Size,39,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown-side.png
,leather-bootie-brown,Leather Bootie Brown,Autumn Essential,"A versatile brown leather bootie perfect for transitioning between seasons. Features a chunky heel for comfort and a classic design that pairs with any outfit.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,900,,,,,,,,,,,TRUE,,,Brown,,,FALSE,TRUE,,,,,,,,,129.99,149.99,Size,40,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/leather-bootie-brown-side.png
